seriesId,date,screen,views
Program 1,20180909,mobile,8946
Program 1,20180909,tablet,1721
Program 1,20180909,desktop,8442
Program 1,20180910,desktop,14157
Program 1,20180910,mobile,11586
Program 1,20180910,tablet,2965
Program 1,20180911,desktop,18414
Program 1,20180911,mobile,14452
Program 1,20180911,tablet,3898
Program 1,20180912,tablet,4031
Program 1,20180912,mobile,13948
Program 1,20180912,desktop,18967
Program 1,20180913,desktop,22000
Program 1,20180913,tablet,4671
Program 1,20180913,mobile,17133
Program 1,20180914,mobile,16917
Program 1,20180914,tablet,5197
Program 1,20180914,desktop,23037
Program 1,20180915,mobile,19195
Program 1,20180915,desktop,21884
Program 1,20180915,tablet,5412
Program 1,20180916,tablet,7389
Program 1,20180916,desktop,33003
Program 1,20180916,mobile,24923
Program 1,20180917,desktop,33638
Program 1,20180917,tablet,7277
Program 1,20180917,mobile,23429
Program 1,20180918,mobile,20920
Program 1,20180918,tablet,6890
Program 1,20180918,desktop,30364
Program 1,20180919,tablet,7550
Program 1,20180919,desktop,34005
Program 1,20180919,mobile,24073
Program 1,20180920,desktop,42315
Program 1,20180920,tablet,9669
Program 1,20180920,mobile,33588
Program 1,20180921,mobile,30539
Program 1,20180921,desktop,41790
Program 1,20180921,tablet,9666
Program 1,20180922,desktop,38076
Program 1,20180922,mobile,31861
Program 1,20180922,tablet,9241
Program 1,20180923,mobile,37141
Program 1,20180923,desktop,50186
Program 1,20180923,tablet,11151
Program 1,20180924,tablet,10461
Program 1,20180924,desktop,50062
Program 1,20180924,mobile,36151
Program 1,20180925,tablet,11270
Program 1,20180925,mobile,36240
Program 1,20180925,desktop,50651
Program 1,20180926,tablet,5929
Program 1,20180926,mobile,14553
Program 1,20180926,desktop,27685
Program 1,20180927,tablet,4649
Program 1,20180927,desktop,21128
Program 1,20180927,mobile,10150
Program 1,20180928,tablet,3864
Program 1,20180928,mobile,8068
Program 1,20180928,desktop,15583
Program 1,20180929,mobile,8038
Program 1,20180929,tablet,3915
Program 1,20180929,desktop,15026
Program 1,20180930,mobile,9138
Program 1,20180930,tablet,4011
Program 1,20180930,desktop,18253
Program 1,20181001,tablet,3104
Program 1,20181001,mobile,7071
Program 1,20181001,desktop,13171
Program 1,20181002,mobile,5270
Program 1,20181002,tablet,2675
Program 1,20181002,desktop,10475
Program 1,20181003,tablet,1905
Program 1,20181003,mobile,3956
Program 1,20181003,desktop,8086
Program 1,20181004,tablet,1547
Program 1,20181004,desktop,7123
Program 1,20181004,mobile,3386
Program 1,20181005,mobile,2949
Program 1,20181005,tablet,1403
Program 1,20181005,desktop,5580
Program 1,20181006,tablet,1485
Program 1,20181006,desktop,5410
Program 1,20181006,mobile,2811
Program 1,20181007,mobile,3006
Program 1,20181007,tablet,1712
Program 1,20181007,desktop,7348
Program 1,20181008,tablet,1339
Program 1,20181008,desktop,5879
Program 1,20181008,mobile,2571
Program 1,20181009,mobile,2187
Program 1,20181009,desktop,4654
Program 1,20181009,tablet,1145
Program 1,20181010,mobile,1689
Program 1,20181010,tablet,922
Program 1,20181010,desktop,3698
Program 1,20181011,tablet,803
Program 1,20181011,desktop,3484
Program 1,20181011,mobile,1734
Program 1,20181012,tablet,678
Program 1,20181012,desktop,2827
Program 1,20181012,mobile,1624
Program 1,20181013,tablet,792
Program 1,20181013,mobile,1664
Program 1,20181013,desktop,2736
Program 1,20181014,desktop,3279
Program 1,20181014,mobile,1840
Program 1,20181014,tablet,810
Program 1,20181015,desktop,3177
Program 1,20181015,tablet,739
Program 1,20181015,mobile,1509
Program 1,20181016,desktop,2772
Program 1,20181016,tablet,572
Program 1,20181016,mobile,1200
Program 1,20181017,mobile,1109
Program 1,20181017,tablet,523
Program 1,20181017,desktop,2371
Program 2,20180422,mobile,2486
Program 2,20180422,tablet,1741
Program 2,20180422,desktop,8077
Program 2,20180423,mobile,1417
Program 2,20180423,tablet,767
Program 2,20180423,desktop,3229
Program 2,20180424,desktop,2208
Program 2,20180424,mobile,930
Program 2,20180424,tablet,514
Program 2,20180425,tablet,431
Program 2,20180425,desktop,1863
Program 2,20180425,mobile,776
Program 2,20180426,mobile,684
Program 2,20180426,tablet,303
Program 2,20180426,desktop,1407
Program 2,20180427,tablet,383
Program 2,20180427,mobile,687
Program 2,20180427,desktop,1644
Program 2,20180428,desktop,1704
Program 2,20180428,tablet,439
Program 2,20180428,mobile,757
Program 2,20180429,tablet,2075
Program 2,20180429,desktop,8871
Program 2,20180429,mobile,2931
Program 2,20180430,desktop,4742
Program 2,20180430,mobile,1782
Program 2,20180430,tablet,1221
Program 2,20180501,desktop,4399
Program 2,20180501,tablet,1353
Program 2,20180501,mobile,1761
Program 2,20180502,mobile,913
Program 2,20180502,desktop,2672
Program 2,20180502,tablet,693
Program 2,20180503,desktop,2051
Program 2,20180503,tablet,533
Program 2,20180503,mobile,717
Program 2,20180504,tablet,426
Program 2,20180504,mobile,596
Program 2,20180504,desktop,1806
Program 2,20180505,mobile,658
Program 2,20180505,tablet,403
Program 2,20180505,desktop,1713
Program 2,20180506,desktop,11191
Program 2,20180506,mobile,4154
Program 2,20180506,tablet,2879
Program 2,20180507,tablet,1315
Program 2,20180507,desktop,5039
Program 2,20180507,mobile,1968
Program 2,20180508,mobile,1201
Program 2,20180508,tablet,779
Program 2,20180508,desktop,3040
Program 2,20180509,mobile,904
Program 2,20180509,tablet,663
Program 2,20180509,desktop,2447
Program 2,20180510,mobile,1071
Program 2,20180510,tablet,766
Program 2,20180510,desktop,2977
Program 2,20180511,desktop,2364
Program 2,20180511,mobile,807
Program 2,20180511,tablet,571
Program 2,20180512,desktop,1921
Program 2,20180512,mobile,655
Program 2,20180512,tablet,476
Program 2,20180513,desktop,13402
Program 2,20180513,tablet,3381
Program 2,20180513,mobile,5211
Program 2,20180514,mobile,3764
Program 2,20180514,tablet,2197
Program 2,20180514,desktop,8576
Program 2,20180515,mobile,2436
Program 2,20180515,desktop,6104
Program 2,20180515,tablet,1663
Program 2,20180516,desktop,5539
Program 2,20180516,mobile,2331
Program 2,20180516,tablet,1505
Program 2,20180517,mobile,1785
Program 2,20180517,desktop,4252
Program 2,20180517,tablet,1346
Program 2,20180518,tablet,2261
Program 2,20180518,desktop,8051
Program 2,20180518,mobile,3706
Program 2,20180519,mobile,3686
Program 2,20180519,tablet,2246
Program 2,20180519,desktop,7778
Program 2,20180520,mobile,4366
Program 2,20180520,tablet,2919
Program 2,20180520,desktop,9713
Program 2,20180521,mobile,3801
Program 2,20180521,tablet,2388
Program 2,20180521,desktop,8400
Program 2,20180522,mobile,2613
Program 2,20180522,desktop,6321
Program 2,20180522,tablet,1772
Program 2,20180523,mobile,2193
Program 2,20180523,tablet,1392
Program 2,20180523,desktop,5252
Program 2,20180524,desktop,4810
Program 2,20180524,mobile,1972
Program 2,20180524,tablet,1205
Program 2,20180525,tablet,1104
Program 2,20180525,desktop,3909
Program 2,20180525,mobile,1683
Program 2,20180526,mobile,1786
Program 2,20180526,tablet,1169
Program 2,20180526,desktop,3736
Program 2,20180527,desktop,4273
Program 2,20180527,mobile,1888
Program 2,20180527,tablet,1267
Program 2,20180528,desktop,3682
Program 2,20180528,tablet,977
Program 2,20180528,mobile,1454
Program 2,20180529,tablet,835
Program 2,20180529,mobile,1295
Program 2,20180529,desktop,2659
Program 2,20180530,mobile,1141
Program 2,20180530,desktop,2081
Program 2,20180530,tablet,644
Program 2,20180531,desktop,2807
Program 2,20180531,mobile,1170
Program 2,20180531,tablet,845
Program 2,20180601,desktop,2889
Program 2,20180601,mobile,1313
Program 2,20180601,tablet,891
Program 2,20180602,desktop,1994
Program 2,20180602,tablet,735
Program 2,20180602,mobile,1140
Program 2,20180603,desktop,13905
Program 2,20180603,tablet,4301
Program 2,20180603,mobile,7052
Program 2,20180604,mobile,4553
Program 2,20180604,tablet,2885
Program 2,20180604,desktop,10189
Program 2,20180605,mobile,3569
Program 2,20180605,desktop,7613
Program 2,20180605,tablet,2125
Program 2,20180606,desktop,6636
Program 2,20180606,mobile,2992
Program 2,20180606,tablet,1916
Program 2,20180607,tablet,1238
Program 2,20180607,mobile,2161
Program 2,20180607,desktop,4318
Program 2,20180608,mobile,1827
Program 2,20180608,desktop,3399
Program 2,20180608,tablet,927
Program 2,20180609,mobile,1856
Program 2,20180609,tablet,926
Program 2,20180609,desktop,3097
Program 2,20180610,tablet,4261
Program 2,20180610,mobile,7674
Program 2,20180610,desktop,14243
Program 2,20180611,desktop,9529
Program 2,20180611,tablet,2469
Program 2,20180611,mobile,4127
Program 2,20180612,desktop,6328
Program 2,20180612,tablet,1755
Program 2,20180612,mobile,2650
Program 2,20180613,mobile,2159
Program 2,20180613,desktop,4804
Program 2,20180613,tablet,1448
Program 2,20180614,mobile,1657
Program 2,20180614,tablet,1235
Program 2,20180614,desktop,4259
Program 2,20180615,tablet,826
Program 2,20180615,desktop,2537
Program 2,20180615,mobile,1323
Program 2,20180616,tablet,776
Program 2,20180616,mobile,1235
Program 2,20180616,desktop,2470
Program 2,20180617,mobile,7960
Program 2,20180617,tablet,5197
Program 2,20180617,desktop,14233
Program 2,20180618,tablet,2784
Program 2,20180618,mobile,4254
Program 2,20180618,desktop,9645
Program 2,20180619,desktop,6853
Program 2,20180619,tablet,2024
Program 2,20180619,mobile,2991
Program 2,20180620,tablet,1836
Program 2,20180620,desktop,6345
Program 2,20180620,mobile,3095
Program 2,20180621,desktop,4773
Program 2,20180621,mobile,2030
Program 2,20180621,tablet,1357
Program 2,20180622,desktop,3357
Program 2,20180622,tablet,1068
Program 2,20180622,mobile,1640
Program 2,20180623,desktop,3197
Program 2,20180623,tablet,1138
Program 2,20180623,mobile,1636
Program 2,20180624,mobile,10913
Program 2,20180624,tablet,6959
Program 2,20180624,desktop,19020
Program 2,20180625,tablet,3847
Program 2,20180625,desktop,11956
Program 2,20180625,mobile,6172
Program 2,20180626,mobile,4433
Program 2,20180626,tablet,2903
Program 2,20180626,desktop,8517
Program 2,20180627,mobile,3407
Program 2,20180627,tablet,2155
Program 2,20180627,desktop,6383
Program 2,20180628,tablet,1689
Program 2,20180628,mobile,2751
Program 2,20180628,desktop,5243
Program 2,20180629,tablet,1285
Program 2,20180629,desktop,3684
Program 2,20180629,mobile,2015
Program 2,20180630,mobile,1409
Program 2,20180630,desktop,2595
Program 2,20180630,tablet,953
Program 2,20180701,desktop,2805
Program 2,20180701,tablet,815
Program 2,20180701,mobile,1493
Program 2,20180702,mobile,1483
Program 2,20180702,tablet,1032
Program 2,20180702,desktop,2830
Program 2,20180703,desktop,2400
Program 2,20180703,tablet,656
Program 2,20180703,mobile,1199
Program 2,20180704,desktop,1029
Program 2,20180704,mobile,930
Program 2,20180704,tablet,525
Program 2,20180705,desktop,204
Program 2,20180705,tablet,409
Program 2,20180705,mobile,570
Program 2,20180706,desktop,817
Program 2,20180706,mobile,658
Program 2,20180706,tablet,405
Program 2,20180707,tablet,476
Program 2,20180707,mobile,687
Program 2,20180707,desktop,1412
Program 2,20180708,mobile,1015
Program 2,20180708,tablet,585
Program 2,20180708,desktop,2137
Program 2,20180709,mobile,1003
Program 2,20180709,desktop,1969
Program 2,20180709,tablet,488
Program 2,20180710,mobile,723
Program 2,20180710,tablet,397
Program 2,20180710,desktop,1346
Program 2,20180711,desktop,1001
Program 2,20180711,mobile,521
Program 2,20180711,tablet,362
Program 2,20180712,mobile,524
Program 2,20180712,desktop,887
Program 2,20180712,tablet,285
Program 2,20180713,desktop,699
Program 2,20180713,mobile,339
Program 2,20180713,tablet,224
Program 2,20180714,desktop,700
Program 2,20180714,tablet,186
Program 2,20180714,mobile,334
Program 2,20180715,mobile,324
Program 2,20180715,desktop,791
Program 2,20180715,tablet,217
Program 2,20180716,tablet,237
Program 2,20180716,desktop,736
Program 2,20180716,mobile,331
Program 2,20180717,mobile,342
Program 2,20180717,desktop,723
Program 2,20180717,tablet,183
Program 2,20180718,tablet,221
Program 2,20180718,mobile,344
Program 2,20180718,desktop,756
Program 2,20180719,tablet,206
Program 2,20180719,desktop,886
Program 2,20180719,mobile,274
Program 2,20180720,tablet,208
Program 2,20180720,mobile,228
Program 2,20180720,desktop,683
Program 2,20180721,mobile,231
Program 2,20180721,desktop,658
Program 2,20180721,tablet,178
Program 2,20180722,mobile,281
Program 2,20180722,desktop,800
Program 2,20180722,tablet,186
Program 2,20180723,mobile,223
Program 2,20180723,desktop,759
Program 2,20180723,tablet,222
Program 2,20180724,mobile,244
Program 2,20180724,tablet,170
Program 2,20180724,desktop,664
Program 2,20180725,desktop,623
Program 2,20180725,mobile,251
Program 2,20180725,tablet,134
Program 2,20180726,desktop,557
Program 2,20180726,tablet,125
Program 2,20180726,mobile,191
Program 2,20180727,tablet,111
Program 2,20180727,mobile,180
Program 2,20180727,desktop,385
Program 2,20180728,desktop,506
Program 2,20180728,mobile,266
Program 2,20180728,tablet,146
Program 2,20180729,tablet,145
Program 2,20180729,mobile,208
Program 2,20180729,desktop,512
Program 2,20180730,desktop,477
Program 2,20180730,mobile,220
Program 2,20180730,tablet,126
Program 2,20180731,tablet,154
Program 2,20180731,desktop,565
Program 2,20180731,mobile,269
Program 2,20180801,tablet,102
Program 2,20180801,mobile,206
Program 2,20180801,desktop,426
Program 2,20180802,mobile,227
Program 2,20180802,tablet,134
Program 2,20180802,desktop,434
Program 2,20180803,desktop,571
Program 2,20180803,mobile,151
Program 2,20180803,tablet,144
Program 2,20180804,desktop,453
Program 2,20180804,tablet,116
Program 2,20180804,mobile,161
Program 2,20180805,tablet,177
Program 2,20180805,mobile,245
Program 2,20180805,desktop,652
Program 2,20180806,tablet,141
Program 2,20180806,mobile,240
Program 2,20180806,desktop,624
Program 2,20180807,tablet,101
Program 2,20180807,desktop,541
Program 2,20180807,mobile,230
Program 2,20180808,tablet,123
Program 2,20180808,mobile,182
Program 2,20180808,desktop,485
Program 2,20180809,tablet,132
Program 2,20180809,desktop,381
Program 2,20180809,mobile,240
Program 2,20180810,tablet,128
Program 2,20180810,desktop,435
Program 2,20180810,mobile,153
Program 2,20180811,tablet,129
Program 2,20180811,desktop,441
Program 2,20180811,mobile,158
Program 2,20180812,mobile,242
Program 2,20180812,tablet,129
Program 2,20180812,desktop,585
Program 2,20180813,mobile,234
Program 2,20180813,tablet,127
Program 2,20180813,desktop,477
Program 2,20180814,tablet,133
Program 2,20180814,mobile,311
Program 2,20180814,desktop,501
Program 2,20180815,desktop,504
Program 2,20180815,tablet,143
Program 2,20180815,mobile,207
Program 2,20180816,mobile,222
Program 2,20180816,tablet,124
Program 2,20180816,desktop,454
Program 2,20180817,desktop,373
Program 2,20180817,mobile,239
Program 2,20180817,tablet,80
Program 2,20180818,mobile,148
Program 2,20180818,tablet,74
Program 2,20180818,desktop,469
Program 2,20180819,tablet,104
Program 2,20180819,mobile,189
Program 2,20180819,desktop,521
Program 2,20180820,desktop,466
Program 2,20180820,mobile,165
Program 2,20180820,tablet,91
Program 2,20180821,tablet,90
Program 2,20180821,mobile,211
Program 2,20180821,desktop,441
Program 2,20180822,mobile,133
Program 2,20180822,tablet,81
Program 2,20180822,desktop,435
Program 2,20180823,tablet,74
Program 2,20180823,desktop,405
Program 2,20180823,mobile,94
Program 2,20180824,tablet,76
Program 2,20180824,desktop,394
Program 2,20180824,mobile,133
Program 2,20180825,desktop,410
Program 2,20180825,mobile,144
Program 2,20180825,tablet,84
Program 2,20180826,mobile,273
Program 2,20180826,tablet,156
Program 2,20180826,desktop,748
Program 2,20180827,mobile,491
Program 2,20180827,desktop,993
Program 2,20180827,tablet,390
Program 2,20180828,desktop,461
Program 2,20180828,mobile,228
Program 2,20180828,tablet,215
Program 2,20180829,tablet,147
Program 2,20180829,mobile,171
Program 2,20180829,desktop,468
Program 2,20180830,mobile,168
Program 2,20180830,desktop,496
Program 2,20180830,tablet,106
Program 2,20180831,desktop,450
Program 2,20180831,mobile,158
Program 2,20180831,tablet,109
Program 2,20180901,tablet,124
Program 2,20180901,mobile,136
Program 2,20180901,desktop,467
Program 2,20180902,desktop,476
Program 2,20180902,mobile,227
Program 2,20180902,tablet,150
Program 2,20180903,mobile,114
Program 2,20180903,tablet,141
Program 2,20180903,desktop,337
Program 2,20180904,mobile,96
Program 2,20180904,tablet,57
Program 2,20180904,desktop,342
Program 2,20180905,mobile,89
Program 2,20180905,desktop,389
Program 2,20180905,tablet,39
Program 2,20180906,mobile,105
Program 2,20180906,tablet,93
Program 2,20180906,desktop,421
Program 2,20180907,tablet,83
Program 2,20180907,desktop,310
Program 2,20180907,mobile,84
Program 2,20180908,tablet,77
Program 2,20180908,mobile,130
Program 2,20180908,desktop,310
Program 2,20180909,desktop,412
Program 2,20180909,mobile,215
Program 2,20180909,tablet,95
Program 2,20180910,tablet,48
Program 2,20180910,desktop,353
Program 2,20180910,mobile,129
Program 2,20180911,mobile,95
Program 2,20180911,tablet,61
Program 2,20180911,desktop,312
Program 2,20180912,tablet,75
Program 2,20180912,mobile,54
